station	depth	Depth.nominal	PO4	Si	Iron.5m	Ammonium.5m	NO2.5m	NO3.5m	Temperature	ChlorophyllA
52	SUR	5	0.119	2.666	0.00104826559739498	0.0105025597537557	0.00593672622926533	0.00694656484605124	27.956483	0.134305
64	DCM	65	0.08325	1.7355	0.000803409852475549	0.0101982532069087	0.0306574714680513	0.0747607639059424	22.215305	0.121203
64	SUR	5	0.084	1.7665	0.000803409852475549	0.0101982532069087	0.0306574714680513	0.0747607639059424	22.2414	0.136664
65	DCM	30	NA	NA	0.000760815028722088	0.00992695808721085	0.0657000627058248	0.482149295198421	21.72823	0.177651
65	SUR	5	NA	NA	0.000760815028722088	0.00992695808721085	0.0657000627058248	0.482149295198421	21.76357	0.176479
66	DCM	30	0.34975	2.5895	0.000311998861434404	0.019386056655397	0.184693300475677	1.54572241504987	15.014	0.221666
66	SUR	5	0.343	2.7435	0.000311998861434404	0.019386056655397	0.184693300475677	1.54572241504987	15.013362	0.221666
67	SUR	5	NA	NA	0.00041588182648411	0.0433757677674294	0.060270548487703	0.0989943367118637	13.04322	0.765222
68	DCM	50	0.227	2.436	0.000368279658384078	0.0158079856385787	0.0605974495410919	0.129485512462755	16.74878	0.325714
68	SUR	5	0.1455	1.9865	0.000368279658384078	0.0158079856385787	0.0605974495410919	0.129485512462755	16.8632	0.309005
7	DCM	42	0.0065	0.4985	0.00138777678754802	0.0152447197275857	0.0334897727395097	0.00691847107373178	17.521075	0.338691
7	SUR	9	0.0475	0.7935	0.00138777678754802	0.0152447197275857	0.0334897727395097	0.00691847107373178	23.8141	0.189348
70	SUR	5	0.309	1.1485	0.00078781635966152	0.0152830765582621	0.0313087810451786	0.0290393635320167	19.77001	0.117466
72	DCM	100	0.143	1.284	0.00126216855521003	0.011292623821646	0.0182348910408715	0.0364900045096874	23.630095	0.242586
72	SUR	5	0.104	0.868	0.00126216855521003	0.011292623821646	0.0182348910408715	0.0364900045096874	25.064425	0.104143
76	DCM	150	0.051522	0.712116	0.00077687834467118	0.0119591918773949	0.0139300390146673	0.0134531114405642	21.16596	0.103558
76	SUR	5	0.055883	0.814172	0.00077687834467118	0.0119591918773949	0.0139300390146673	0.0134531114405642	23.374825	0.055113
78	DCM	120	0	0.319	0.000862562301335856	0.0177185568027198	0.0123646273665751	0.00197412431589328	19.32335	0.16855
78	SUR	5	0	0.749	0.000862562301335856	0.0177185568027198	0.0123646273665751	0.00197412431589328	20.07775	0.066207
80	DCM	85	0.357	2.723	0.00122622006650393	0.096365528802077	0.0107275110203773	0.0835020281374454	17.789095	0.200916
80	SUR	5	0	1.039	0.00122622006650393	0.096365528802077	0.0107275110203773	0.0835020281374454	19.93457	0.13213
81	DCM	35	0.412	1.296	0.00105588923906907	0.154090276608864	0.0274974177591503	1.22448276480039	13.506225	0.291964
81	SUR	5	0.429	1.173	0.00105588923906907	0.154090276608864	0.0274974177591503	1.22448276480039	13.6805	0.233632
82	DCM	40	1.356	2.661	0.000290781228007593	0.125833503901958	0.274188709134857	6.38722785313924	7.154875	0.507313
82	SUR	5	1.302	1.945	0.000290781228007593	0.125833503901958	0.274188709134857	6.38722785313924	7.579417	0.426587
83	SUR	5	1.176	0.936	3.29377635353012e-05	0.257799689968427	0.812755768497785	11.7047335306803	7.12605	0.308897
84	SUR	5	1.723	16.55	8.82580949716309e-06	0.0968938122193019	0.217055052518845	19.8922742207845	1.9034	0.207979
85	DCM	90	2.309	81.82	0.000451462571315157	0.00768606374428297	0.0427742149913684	26.6249059041341	-0.792395	0.289537
85	SUR	5	2.1055	80.55	0.000451462571315157	0.00768606374428297	0.0427742149913684	26.6249059041341	0.73159	0.276495
9	DCM	55	NA	NA	0.00138772993038098	0.015086658919851	0.0487093214566509	0.0167545103468001	15.9708	0.442902
9	SUR	9	NA	NA	0.00138772993038098	0.015086658919851	0.0487093214566509	0.0167545103468001	24.4828	0.136232
92	SUR	9	0.795	0.49	5.25875232900338e-06	0.0730514973402023	0.349130754669507	11.6955348650614	15.912325	2.257991
93	DCM	35	1.08725	0.46	3.97358015410039e-06	0.0408711628988385	0.175246051202218	11.336968421936	15.376875	0.484784
93	SUR	5	0.52125	0.1445	3.97358015410039e-06	0.0408711628988385	0.175246051202218	11.336968421936	18.122955	0.361109
98	DCM	188	0.0965	0.35	0.000233155270204103	0.00798635904599602	0.0292867912600438	0.0106980515023073	20.2127	0.115489
98	SUR	5	0.1815	0.385875	0.000233155270204103	0.00798635904599602	0.0292867912600438	0.0106980515023073	25.18103	0.060509
