sample_id_pangaea	par	depth_bathy	lyapunov_exp	temperature	chla	backscattering	depth_chl_max	mixed_layer_depth_sigma	depth_max_brunt_väisälä	nitrite	phosphate	nitrate_nitrite	silicate	nstar
TARA_B100000959	44.535168	-3412	0.045278	12.806365	0.019279	0.001831	61	45	56	0.131	2.68675	23.251	20.9015	-19.737
TARA_B100000963	44.535168	-3678	0.045278	25.349495	0.227673	0.002631	56	43	53	0.137	0.67725	6.1625	1.15025	-4.6735
TARA_B100000965	44.535168	-3678	0.045278	22.596675	0.258187	0.002856	56	43	53	0.1635	0.7785	5.6545	1.8815	-6.8015
TARA_B100000989	44.91054	-3535	0.056696	23.84533	0.070669	0.001979	153	48	60	0	0.1575		0.5305	
TARA_B100001013	40.119926	-3087	0.028784	7.96837	0	0.001825	168	64	72	0	2.023	27.2885	12.05	-5.0795
TARA_B100001027	40.119926	-2988	0.028784	25.18103	0.060509	0.001991	184	69	79	0.000563	0.1815	0.05125	0.385875	-2.85275
TARA_B100001029	40.119926	-3072	0.028784	20.2127	0.115489	0.001969	177	41	71					
TARA_B100001057	40.970985	-3722	0.05823	21.121575	0.147303	0.002574	60	47	58	0.001	0.2425	0.029	0.103	-3.851
TARA_B100001059	41.485146	-5345		15.376875	0.484784	0.004667	29	23	38	0.359	1.08725	6.80275	0.46	-10.59325
TARA_B100001063	42.759144	-5030		18.122955	0.361109	0.004784	29	25	36	0.03975	0.52125	0.2115	0.1445	-8.1285
TARA_B100001079	45.999916	-2279	0.064745	10.082375	0.007712	0.001914	38	29	68					
TARA_B100001093	30.146017	-4747	0.043359	19.24802	0.140785	0.002794	39	11	41	0.002	0.2925	0.011	1.95475	-4.669
TARA_B100001094	30.146017	-4697	0.043359	13.874505	0.389715	0.003115	32	10	38	0.06	0.43225	0.92875	2.65725	-5.98725
TARA_B100001105	31.230354	-4691	0.043359	4.918875	0	0.001807	38	13	42					
TARA_B100001109	47.30593	-2519	0.064745	23.88816	0.246175	0.002804	41	30	74	0.31925	0.77275	8.287	3.8635	-4.077
TARA_B100001113	45.999916	-2111	0.064745	22.039785	0.282031	0.002488	28	19	64	0.414	0.9295	10.701	5.407	-4.171
TARA_B100001115	43.031143	-3444	0.028977	26.60467	0.177137	0.002255	106	101	112	0.11925	0.56795	5.456	2.1905	-3.6312
TARA_B100001121	47.947315	-4403	0.014455	26.80604	0.178072	0.002338	40	109	119	0.1945	0.55725	3.7335	1.80475	-5.1825
TARA_B100001123	48.62074	-4371	0.014455	23.681605	0	0.001863	26	101	111	0.05475	0.566	3.47525	1.24575	-5.58075
TARA_B100001142	19.37009	-2649	0.144593	13.993715	0.169817	0.002257	55	91	100	0.093	0.33275	3.7925	2.41425	-1.5315
TARA_B100001146	19.37009	-2645	0.144593	5.004169	0	0.001775	14	82	100					
TARA_B100001167	24.816668	-4582	0.04793	10.6855	0.007712	0.001744	13	198	210	0	1.3135	20.025	13.2415	-0.991
TARA_B100001173	28.66882	-3940	0.033926	14.31675	0.191493	0.00233	26	156	505	0.3105	0.1595	2.159	1.236	-0.393
TARA_B100001179	28.952892	-4066	0.033926	10.167675	0	0.001732	24	162	922					
TARA_B100001245	34.340454	-5529	0.043804	6.634392	0	0.001846	113	46	56					
TARA_B100001248	34.340454	-5550	0.043804	25.164595	0.101563	0.002047	107	41	52	0.002	0.0062	0.01	2.4278	-0.0892
TARA_B100001250	34.340454	-5710	0.043804	15.321075	0.158691	0.002018	110	47	58	0.017	0.1252	0.047	4.4468	-1.9562
