sample_id_pangaea	sample_material	event_date	event_latitude	event_longitude	depth_nominal	marine_biome	ocean_region	biogeo_province	station	depth	size_fraction	lower_size_fraction	upper_size_fraction	depthplot	sizeplot	station_plot	biomeplot	polar	abs_lat	uniq	complete	coral_station
TARA_A100000759	TARA_020_SRF_180-2000	2009-11-12T17:44	34.4064	15.043	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	020	SRF	180-2000	180	2000	SRF	meso	020 SRF	Westerlies	Non polar	34.4064	no	no	no
TARA_A100000761	TARA_020_SRF_5-20	2009-11-12T14:09	34.453	14.9538	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	020	SRF	5-20	5	20	SRF	nano	020 SRF	Westerlies	Non polar	34.453	yes	no	no
TARA_A100000810	TARA_019_ZZZ_180-2000	2009-11-11T18:27	34.2189	13.891	0-100	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	019	ZZZ	180-2000	180	2000		meso	019 NA	Westerlies	Non polar	34.2189	yes	no	no
TARA_A100000817	TARA_019_SRF_20-180	2009-11-11T19:50	34.217	13.9616	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	019	SRF	20-180	20	180	SRF	micro	019 SRF	Westerlies	Non polar	34.217	yes	no	no
TARA_A100000823	TARA_019_SRF_0.8-5	2009-11-11T16:24	34.2116	13.7684	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	019	SRF	0.8-5	0.8	5	SRF	piconano	019 SRF	Westerlies	Non polar	34.2116	yes	no	no
TARA_A100000825	TARA_019_SRF_5-20	2009-11-11T16:24	34.2116	13.7684	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	019	SRF	5-20	5	20	SRF	nano	019 SRF	Westerlies	Non polar	34.2116	yes	no	no
TARA_A100001035	TARA_032_SRF_0.22-1.6	2010-01-11T07:21	23.36	37.2183	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	SRF	0.22-1.6	0.22	1.6	SRF	pico	032 SRF	Coastal	Non polar	23.36	yes	yes	no
TARA_A100001037	TARA_032_DCM_0.22-1.6	2010-01-11T14:17	23.4183	37.245	80	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	DCM	0.22-1.6	0.22	1.6	MIX/DCM	pico	032 MIX/DCM	Coastal	Non polar	23.4183	yes	yes	no
TARA_A100001141	TARA_032_SRF_0.8-5	2010-01-11T07:21	23.36	37.2183	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	SRF	0.8-5	0.8	5	SRF	piconano	032 SRF	Coastal	Non polar	23.36	yes	yes	no
TARA_A100001142	TARA_032_SRF_5-20	2010-01-11T07:21	23.36	37.2183	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	SRF	5-20	5	20	SRF	nano	032 SRF	Coastal	Non polar	23.36	yes	yes	no
TARA_A100001143	TARA_032_SRF_20-180	2010-01-11T07:21	23.36	37.2183	5	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	032	SRF	20-180	20	180	SRF	micro	032 SRF	Coastal	Non polar	23.36	yes	yes	no
