Dataset	Station	Tara_Sample_ID	"Depth, nominal"	Fraction_size	Latitude	Longitude	Zooplankton	Copepoda	Rhizaria	Cnidaria	Tunicata	Eumalacostraca	Pteropoda	Chaetognatha	Other_large	Other_small	Other_unidentified	Small_grazers	Diatoms	Dinoflagelates	Acartiidae	Aetideidae	Arietellidae	Augaptilidae	Calanidae	Calanoida_unidentified	Candaciidae	Centropagidae	Corycaeidae	Eucalanidae	Euchaetidae	Harpacticoida	Heterorhabdidae	Lubbockiidae	Metridinidae	Monstrilloida	Oithonidae	Oncaeidae	Paracalanidae	Pontellidae	Rhincalanidae	Sapphirinidae	Temoridae	All Calanoida	All Cyclopoida	All Harpacticoida	All Monstrilloida	All Poecilostomatoida	Copepoda_unidentified
regent	TARA_032	TARA_A100001165	0-500	680	23.3756	37.2411	6.20	2.79	0.06	0.44	0.23	0.32	0.53	0.97	0.27	0.52	0.24	0.06	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.23	0.14	0.00	0.00	0.06	0.14	0.00	0.00	0.00	1.45	0.00	0.00	0.03	0.00	0.03	0.42	0.18	0.00	2.61	0.00	0.00	0.00	0.21	0.00
regent	TARA_033	TARA_A100001301	0-500	680	22.0517	38.2167	2.06	1.07	0.01	0.13	0.07	0.21	0.08	0.32	0.10	0.07	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.29	0.15	0.00	0.00	0.01	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.35	0.00	0.65	0.00	0.00	0.00	0.35	0.01
regent	TARA_034	TARA_P100000581	0-500	680	18.3975	39.8692	3.98	1.48	0.02	0.43	0.07	0.40	0.32	0.54	0.45	0.14	0.13	0.22	0.00	0.00	0.00	0.00	0.00	0.05	0.02	0.07	0.14	0.00	0.00	0.13	0.27	0.00	0.00	0.00	0.56	0.00	0.04	0.00	0.00	0.00	0.00	0.14	0.00	1.24	0.04	0.00	0.00	0.14	0.00
regent	TARA_036	TARA_P100000563	0-500	680	22.7745	60.3286	24.63	14.33	1.72	2.64	0.51	1.02	1.53	0.74	0.83	1.02	1.58	0.32	0.00	0.00	0.00	0.00	0.00	0.09	0.14	1.76	0.09	0.00	0.05	1.99	6.91	0.00	0.14	0.00	0.74	0.00	0.00	0.00	0.00	0.00	0.37	1.34	0.00	12.24	0.00	0.00	0.00	1.39	0.09
regent	TARA_038	TARA_P100000032	0-500	680	19.0205	64.5537	8.92	4.33	0.13	1.13	1.50	0.10	0.04	0.23	0.13	1.25	0.81	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.77	0.02	0.00	0.02	0.81	1.73	0.00	0.02	0.00	0.27	0.00	0.00	0.02	0.00	0.04	0.00	0.08	0.00	3.71	0.00	0.00	0.00	0.13	0.10
regent	TARA_039	TARA_P100000054	0-500	680	18.6713	66.4193	9.64	3.95	0.08	2.00	0.03	0.99	0.10	0.29	0.65	0.70	0.86	0.96	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.55	0.08	0.00	0.00	0.18	2.23	0.00	0.00	0.00	0.36	0.00	0.03	0.00	0.00	0.03	0.00	0.16	0.00	3.45	0.03	0.00	0.00	0.16	0.16
regent	TARA_040	TARA_P100000545	0-500	680	17.4911	67.9944	7.59	4.13	0.14	0.40	0.08	0.36	0.07	0.38	0.23	0.36	0.18	1.45	0.00	0.00	0.00	0.00	0.00	0.05	0.02	0.62	0.01	0.00	0.00	0.15	2.81	0.00	0.02	0.00	0.21	0.00	0.00	0.00	0.00	0.04	0.00	0.16	0.00	3.92	0.00	0.00	0.00	0.16	0.03
regent	TARA_041	TARA_P100000520	0-500	680	14.5762	70.0167	8.73	4.85	0.33	1.37	0.34	0.36	0.11	0.34	0.13	0.52	0.15	0.38	0.00	0.00	0.00	0.00	0.00	0.10	0.02	0.38	0.15	0.00	0.07	0.51	2.40	0.00	0.08	0.00	0.51	0.00	0.02	0.03	0.00	0.05	0.00	0.44	0.00	4.18	0.02	0.00	0.00	0.54	0.05
regent	TARA_042	TARA_P100000495	0-500	680	6.0056	73.9011	29.71	15.01	0.40	3.18	1.09	1.99	0.30	4.97	0.99	1.49	0.80	0.40	0.00	0.00	0.00	0.00	0.00	0.60	0.50	0.89	0.40	0.00	0.00	2.98	3.98	0.40	0.10	0.00	1.99	0.00	0.00	0.00	0.00	0.00	1.09	1.79	0.00	12.52	0.00	0.40	0.00	1.79	0.00
regent	TARA_043	TARA_P100000478	0-51	680	4.6599	73.4855	18.39	10.97	0.06	0.77	0.58	0.77	0.00	3.87	0.84	0.39	1.16	0.06	0.00	0.00	0.06	0.00	0.00	0.00	0.19	3.55	0.58	0.00	0.00	0.52	4.45	0.00	0.00	0.00	0.06	0.00	0.06	0.00	0.00	0.19	0.06	0.65	0.00	9.68	0.06	0.00	0.00	0.65	0.39
regent	TARA_044	TARA_P100000482	0-500	680	2.8079	71.5249	12.07	7.57	0.30	0.75	0.36	0.62	0.10	0.95	0.49	0.62	0.62	0.33	0.03	0.00	0.00	0.00	0.00	0.33	0.23	1.28	0.03	0.00	0.07	1.51	1.25	0.03	0.13	0.00	0.52	0.00	0.00	0.00	0.00	0.07	1.21	0.56	0.00	6.56	0.00	0.03	0.00	0.62	0.13
regent	TARA_045	TARA_P100000483	0-500	680	1.1304	71.5479	4.78	3.02	0.13	0.32	0.07	0.28	0.00	0.42	0.12	0.18	0.10	0.23	0.00	0.00	0.00	0.00	0.00	0.10	0.03	0.62	0.08	0.00	0.02	0.27	0.38	0.03	0.10	0.00	0.17	0.00	0.02	0.00	0.00	0.00	0.84	0.28	0.00	2.59	0.02	0.03	0.00	0.30	0.03
regent	TARA_046	TARA_P100000498	0-60	680	-0.6625	73.1610	6.38	1.50	1.86	0.10	0.81	0.52	0.38	0.60	0.17	0.45	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.50	0.19	0.00	0.00	0.31	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.17	0.00	1.19	0.00	0.00	0.00	0.17	0.10
regent	TARA_050	TARA_P100000088	0-500	680	-21.4780	56.8143	2.39	1.48	0.04	0.17	0.05	0.20	0.01	0.28	0.04	0.08	0.06	0.03	0.00	0.00	0.00	0.00	0.00	0.06	0.09	0.13	0.04	0.00	0.00	0.06	0.60	0.00	0.03	0.00	0.25	0.00	0.00	0.00	0.00	0.01	0.01	0.16	0.00	1.26	0.00	0.00	0.00	0.16	0.01
regent	TARA_051	TARA_P100000089	0-500	680	-21.4875	54.3219	2.89	1.30	0.03	0.33	0.19	0.34	0.04	0.27	0.17	0.08	0.13	0.11	0.00	0.00	0.00	0.01	0.00	0.15	0.11	0.16	0.05	0.00	0.01	0.08	0.25	0.00	0.04	0.00	0.23	0.00	0.00	0.00	0.00	0.01	0.02	0.14	0.00	1.11	0.00	0.00	0.00	0.15	0.01
regent	TARA_052	TARA_P100000659	0-200	680	-16.9569	54.0019	1.75	0.72	0.01	0.11	0.17	0.15	0.07	0.24	0.04	0.17	0.03	0.09	0.00	0.00	0.00	0.01	0.00	0.12	0.05	0.12	0.03	0.00	0.00	0.04	0.09	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.00	0.68	0.00	0.00	0.00	0.06	0.03
