Dataset	Station	Tara_Sample_ID	"Depth, nominal"	Fraction_size	Latitude	Longitude	Zooplankton	Copepoda	Rhizaria	Cnidaria	Tunicata	Eumalacostraca	Pteropoda	Chaetognatha	Other_large	Other_small	Other_unidentified	Small_grazers	Diatoms	Dinoflagelates	Acartiidae	Aetideidae	Arietellidae	Augaptilidae	Calanidae	Calanoida_unidentified	Candaciidae	Centropagidae	Corycaeidae	Eucalanidae	Euchaetidae	Harpacticoida	Heterorhabdidae	Lubbockiidae	Metridinidae	Monstrilloida	Oithonidae	Oncaeidae	Paracalanidae	Pontellidae	Rhincalanidae	Sapphirinidae	Temoridae	All Calanoida	All Cyclopoida	All Harpacticoida	All Monstrilloida	All Poecilostomatoida	Copepoda_unidentified
regent	TARA_188	TARA_P100003744	0-31	680	78.2528	91.8537	13.04	11.77	0.00	0.22	0.00	0.04	0.15	0.18	0.58	0.11	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.15	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.51	0.00	0.00	0.00	0.00	0.00
regent	TARA_189	TARA_P100003659	0-500	680	78.0209	116.4497	42.76	34.21	0.00	0.29	0.19	0.00	0.00	2.76	0.95	1.43	0.86	2.47	0.00	0.00	0.00	0.00	0.00	0.00	23.00	2.09	0.00	0.00	0.00	0.00	0.86	0.00	0.10	0.00	7.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.16	0.00	0.00	0.00	0.00	0.10
regent	TARA_191	TARA_P100003731	0-18	680	71.5948	160.9381	3.96	1.42	0.00	0.14	0.01	1.32	0.00	0.54	0.42	0.11	0.14	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.90	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.00
regent	TARA_193	TARA_P100003787	0-35	680	71.0704	174.9917	56.11	45.51	0.00	0.11	3.35	0.22	0.00	3.68	0.32	2.70	1.41	0.22	0.00	0.00	0.00	0.00	0.00	0.00	42.81	1.41	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	44.32	0.00	0.00	0.00	0.00	0.00
regent	TARA_194	TARA_P100003796	0-90	680	73.3509	-168.4486	216.26	190.97	0.00	4.13	3.61	0.00	2.06	12.39	1.03	2.06	2.06	0.00	0.00	0.00	0.00	0.00	0.00	1.03	177.03	5.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	183.23	0.00	0.00	0.00	0.00	0.00
regent	TARA_196	TARA_P100003713	0-450	680	71.8834	-154.9125	13.62	12.12	0.00	0.24	0.07	0.03	0.00	0.42	0.07	0.49	0.28	0.10	0.00	0.00	0.00	0.00	0.00	0.00	9.54	0.94	0.00	0.00	0.00	0.07	0.52	0.00	0.07	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.81	0.00	0.00	0.00	0.00	0.03
regent	TARA_201	TARA_P100003042	0-500	680	74.3284	-85.7019	110.86	84.86	0.00	6.57	0.29	0.00	0.86	5.43	0.57	9.43	3.14	2.57	0.00	0.00	0.00	0.00	0.00	0.00	57.14	4.29	0.00	0.00	0.00	0.86	0.86	0.00	0.29	0.00	19.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	83.14	0.00	0.00	0.00	0.00	0.29
regent	TARA_202	TARA_R110002144	0-200	680	73.1700	-85.0477	43.77	38.43	0.00	2.54	0.00	0.00	0.13	1.40	0.13	1.15	0.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	36.14	0.38	0.00	0.00	0.00	0.13	0.38	0.00	0.00	0.00	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	38.30	0.00	0.00	0.00	0.00	0.00
regent	TARA_205	TARA_P100003530	0-500	680	72.4328	-71.9361	109.49	78.39	0.00	7.45	0.77	0.00	1.54	3.60	2.83	7.20	4.37	7.97	0.00	0.00	0.26	0.00	0.00	0.00	37.78	5.91	0.00	0.00	0.00	0.26	0.77	0.00	0.00	0.00	32.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	77.37	0.00	0.00	0.00	0.00	1.29
regent	TARA_206	TARA_P100003395	0-500	680	70.9373	-53.5443	107.14	87.47	0.00	11.85	0.71	0.00	0.00	2.61	1.66	1.90	1.42	1.19	0.00	0.00	0.00	0.00	0.00	0.00	62.58	12.33	0.24	0.00	0.00	0.71	1.90	0.00	0.00	0.00	8.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	86.52	0.00	0.00	0.00	0.00	0.24
regent	TARA_208	TARA_P100003560	0-400	680	69.1124	-51.5117	367.49	340.65	0.00	4.13	1.03	2.06	0.00	3.10	3.10	4.13	3.10	9.29	0.00	0.00	0.00	0.00	0.00	0.00	299.35	4.13	0.00	0.00	0.00	0.00	4.13	0.00	0.00	0.00	25.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	333.42	0.00	0.00	0.00	0.00	0.00
regent	TARA_209	TARA_P100004830	0-500	680	64.7289	-53.0550	567.41	566.07	0.00	0.00	0.00	0.00	0.00	0.00	1.34	0.00	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	559.40	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	564.74	0.00	0.00	0.00	0.00	0.00
